"Student Counts by School and Grade"
"All Districts, All Schools"
"2018-19"

"",,,,"Grade",,,,,,,,,,,,,,
"District","District Code","School","School Code","Pre-Kindergarten","Kindergarten","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12","Total"
,,"George Hersey Robertson School","=""0320411""",0,0,0,0,112,118,142,0,0,0,0,0,0,0,372
,,"Capt. Nathan Hale School","=""0325111""",0,0,0,0,0,0,0,119,127,117,0,0,0,0,363
,,"Coventry Academy","=""0320111""",0,0,0,0,0,0,0,0,0,"*",0,"*","*",13,19
,,"Coventry High School","=""0326111""",0,0,0,0,0,0,0,0,0,0,108,115,118,99,440
"Cromwell School District","=""0330011""","Edna C. Stevens School","=""0330211""",64,131,143,140,0,0,0,0,0,0,0,0,0,0,478
,,"Woodside Intermediate School","=""0330311""",0,0,0,0,142,164,145,0,0,0,0,0,0,0,451
,,"Cromwell Middle School","=""0335111""",0,0,0,0,0,0,0,150,146,181,0,0,0,0,477
,,"Cromwell High School","=""0336111""",0,0,0,0,0,0,0,0,0,0,128,141,129,128,526
"Danbury School District","=""0340011""","DPS Early Childhood Center","=""0340111""",150,0,0,0,0,0,0,0,0,0,0,0,0,0,150
,,"Great Plain School","=""0341111""",50,41,35,37,39,49,49,0,0,0,0,0,0,0,300
,,"Hayestown Avenue School","=""0340211""",68,73,67,73,73,57,59,0,0,0,0,0,0,0,470
,,"Mill Ridge Primary School","=""0340511""","*",102,99,"*",91,0,0,0,0,0,0,0,0,0,373
,,"Park Avenue School","=""0340811""","*",121,102,109,"*",106,108,0,0,0,0,0,0,0,640
,,"Pembroke School","=""0341511""","*",58,53,"*",57,65,64,0,0,0,0,0,0,0,345
,,"Shelter Rock School","=""0341211""","*","*",90,89,95,106,86,0,0,0,0,0,0,0,545
,,"Stadley Rough School","=""0341611""","*",86,88,89,81,90,"*",0,0,0,0,0,0,0,514
,,"Ellsworth Avenue School","=""0341411""",0,68,69,72,82,87,91,0,0,0,0,0,0,0,469
,,"King Street Primary School","=""0341311""",0,103,128,104,117,0,0,0,0,0,0,0,0,0,452
,,"Morris Street School","=""0340611""",0,52,54,58,58,46,64,0,0,0,0,0,0,0,332
,,"South Street School","=""0341011""",0,59,58,79,60,69,65,0,0,0,0,0,0,0,390
,,"Western CT Academy of International Studies Elementary Magnet School","=""0341911""",0,59,61,58,68,67,64,0,0,0,0,0,0,0,377
,,"King Street Intermediate School","=""0341711""",0,0,0,0,0,179,191,0,0,0,0,0,0,0,370
,,"Broadview Middle School","=""0345111""",0,0,0,0,0,0,0,320,321,336,0,0,0,0,977
,,"Rogers Park Middle School","=""0345211""",0,0,0,0,0,0,0,331,303,345,0,0,0,0,979
,,"Westside Middle School Academy","=""0340311""",0,0,0,0,0,0,0,244,199,196,0,0,0,0,639
,,"Alternative Center For Excellence","=""0346211""",0,0,0,0,0,0,0,0,0,0,18,20,28,25,91
,,"Danbury High School","=""0346111""",0,0,0,0,0,0,0,0,0,0,842,804,754,686,3086
,,"Western Connection","=""0340711""",0,0,0,0,0,0,0,0,0,0,0,0,0,9,9
