"Student Counts by School and Grade"
"All Districts, All Schools"
"2018-19"

"",,,,"Grade",,,,,,,,,,,,,,
"District","District Code","School","School Code","Pre-Kindergarten","Kindergarten","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12","Total"
,,"Seth G. Haley School","=""1560411""",19,78,84,63,71,66,0,0,0,0,0,0,0,0,381
,,"Life Skills","=""1560111""",0,0,0,0,0,0,"*","*","*","*",0,0,0,0,11
,,"ASD Lab","=""1561111""",0,0,0,0,0,0,"*","*","*",0,0,0,0,0,"*"
,,"Carrigan 5/6 Intermediate School","=""1565311""",0,0,0,0,0,0,460,458,0,0,0,0,0,0,918
,,"Harry M. Bailey Middle School","=""1565111""",0,0,0,0,0,0,0,0,462,498,0,0,0,0,960
,,"PACE","=""1560211""",0,0,0,0,0,0,0,0,0,"*",23,8,"*","*",40
,,"Blended","=""1560711""",0,0,0,0,0,0,0,0,0,0,6,"*",6,"*",19
,,"Blended (Molloy)","=""1560511""",0,0,0,0,0,0,0,0,0,0,"*",0,"*","*","*"
,,"West Haven High School","=""1566111""",0,0,0,0,0,0,0,0,0,0,409,355,355,357,1476
"Westbrook School District","=""1540011""","Daisy Ingraham School","=""1540211""",34,44,28,57,35,41,0,0,0,0,0,0,0,0,239
,,"Westbrook Middle School","=""1545111""",0,0,0,0,0,0,47,50,53,59,0,0,0,0,209
,,"Westbrook High School","=""1546111""",0,0,0,0,0,0,0,0,0,0,58,50,53,62,223
"Weston School District","=""1570011""","Hurlbutt Elementary School","=""1570111""",27,109,128,154,0,0,0,0,0,0,0,0,0,0,418
,,"Weston Intermediate School","=""1570211""",0,0,0,0,163,164,180,0,0,0,0,0,0,0,507
,,"Weston Middle School","=""1575111""",0,0,0,0,0,0,0,187,200,194,0,0,0,0,581
,,"Weston High School","=""1576111""",0,0,0,0,0,0,0,0,0,0,203,207,185,206,801
,,"Post-High School Community Class Transition Program","=""1570311""",0,0,0,0,0,0,0,0,0,0,0,0,0,"*","*"
"Westport School District","=""1580011""","Stepping Stones Preschool","=""1588011""",73,0,0,0,0,0,0,0,0,0,0,0,0,0,73
,,"Coleytown Elementary School","=""1580311""",0,63,66,58,67,56,71,0,0,0,0,0,0,0,381
,,"GFS Intensive Resource","=""1580211""",0,"*","*",0,"*",0,0,0,0,0,0,0,0,0,6
,,"Green's Farms School","=""1580411""",0,58,59,68,65,66,82,0,0,0,0,0,0,0,398
,,"King's Highway Elementary School","=""1580511""",0,75,63,80,86,83,83,0,0,0,0,0,0,0,470
,,"Long Lots School","=""1580711""",0,80,94,79,99,82,104,0,0,0,0,0,0,0,538
,,"Saugatuck Elementary School","=""1580811""",0,68,66,72,78,85,97,0,0,0,0,0,0,0,466
,,"LLS Intensive Resource","=""1580111""",0,0,"*",0,"*","*",0,0,0,0,0,0,0,0,"*"
,,"Bedford Middle School","=""1585111""",0,0,0,0,0,0,0,282,282,294,0,0,0,0,858
,,"Coleytown Middle School","=""1585311""",0,0,0,0,0,0,0,146,147,163,0,0,0,0,456
,,"Staples High School","=""1586111""",0,0,0,0,0,0,0,0,0,0,464,474,441,479,1858
"Wethersfield School District","=""1590011""","Alfred W. Hanmer School","=""1590811""","*",51,47,52,59,"*",57,50,0,0,0,0,0,0,360
,,"Emerson-Williams School","=""1590211""","*",63,"*",58,55,63,62,75,0,0,0,0,0,0,432
,,"Highcrest School","=""1591111""","*",57,65,"*",68,70,74,61,0,0,0,0,0,0,453
,,"Samuel B. Webb Elementary School","=""1591211""",56,45,26,35,40,44,31,44,0,0,0,0,0,0,321
,,"Charles Wright School","=""1591011""",0,41,50,43,43,43,49,59,0,0,0,0,0,0,328
,,"ABA","=""1590411""",0,0,"*","*",0,"*",0,0,0,0,0,0,0,0,7
,,"STRIVE","=""1590311""",0,0,0,0,"*",0,0,0,0,0,0,0,0,0,"*"
,,"Silas Deane Middle School","=""1595211""",0,0,0,0,0,0,0,0,260,275,0,0,0,0,535
,,"Wethersfield High School","=""1596111""",0,0,0,0,0,0,0,0,0,0,300,280,274,286,1140
,,"Wethersfield Transition Academy","=""1590111""",0,0,0,0,0,0,0,0,0,0,0,0,0,11,11
"Willington School District","=""1600011""","Center School","=""1600111""",32,38,33,40,48,46,0,0,0,0,0,0,0,0,237
,,"Hall Memorial School","=""1605111""",0,0,0,0,0,0,35,62,57,36,0,0,0,0,190
"Wilton School District","=""1610011""","Miller-Driscoll School","=""1610511""",62,242,230,257,0,0,0,0,0,0,0,0,0,0,791
,,"Middlebrook School","=""1615211""",0,0,0,0,0,0,0,307,345,351,0,0,0,0,1003
,,"Cider Mill School","=""1610711""",0,0,0,0,265,308,285,0,0,0,0,0,0,0,858
,,"Wilton High School","=""1616111""",0,0,0,0,0,0,0,0,0,0,293,344,313,313,1263
,,"Community Steps","=""1610311""",0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
"Winchester School District","=""1620011""","Batcheller Early Education Center","=""1620411""",36,74,68,65,0,0,0,0,0,0,0,0,0,0,243
,,"Pearson School","=""1625111""",0,0,0,0,67,69,76,82,0,0,0,0,0,0,294
"Windham School District","=""1630011""","Early Headstart","=""1638011""",30,0,0,0,0,0,0,0,0,0,0,0,0,0,30
,,"Windham Early Childhood Center","=""1638311""",228,0,0,0,0,0,0,0,0,0,0,0,0,0,228
,,"Charles H. Barrows STEM Academy","=""1630411""",0,58,65,64,64,63,66,64,60,63,0,0,0,0,567
,,"Natchaug School","=""1630111""",0,54,49,62,52,47,52,0,0,0,0,0,0,0,316
,,"North Windham School","=""1630311""",0,65,69,75,82,80,73,0,0,0,0,0,0,0,444
,,"Sweeney ASD Program","=""1631111""",0,"*","*","*","*","*","*",0,0,0,0,0,0,0,15
,,"Sweeney Medically Fragile Program","=""1630911""",0,"*",0,0,"*","*",0,0,0,0,0,0,0,0,"*"
,,"W. B. Sweeney School","=""1630611""",0,50,36,36,47,46,42,0,0,0,0,0,0,0,257
,,"Windham Center School","=""1630511""",0,37,43,41,33,33,42,0,0,0,0,0,0,0,229
,,"Windham Middle School","=""1635111""",0,0,0,0,0,0,0,253,213,188,0,0,0,0,654
,,"Windham High School","=""1636111""",0,0,0,0,0,0,0,0,0,0,145,144,137,128,554
,,"Windham STEPS Academy","=""1631311""",0,0,0,0,0,0,0,0,0,0,"*",14,11,"*",34
,,"Assisted Work Program","=""1631211""",0,0,0,0,0,0,0,0,0,0,0,0,0,12,12
"Windsor Locks School District","=""1650011""","North Street School","=""1650111""",100,126,102,100,0,0,0,0,0,0,0,0,0,0,428
,,"South Elementary School","=""1650411""",0,0,0,0,122,101,102,0,0,0,0,0,0,0,325
,,"Windsor Locks Middle School","=""1655111""",0,0,0,0,0,0,0,105,118,121,0,0,0,0,344
,,"Pine Meadow Academy","=""1650611""",0,0,0,0,0,0,0,0,0,0,11,"*",12,"*",36
,,"Windsor Locks High School","=""1656111""",0,0,0,0,0,0,0,0,0,0,101,101,101,105,408
,,"RISE Transition Academy","=""1650211""",0,0,0,0,0,0,0,0,0,0,0,0,0,20,20
"Windsor School District","=""1640011""","Oliver Ellsworth School","=""1640911""",69,108,120,114,0,0,0,0,0,0,0,0,0,0,411
,,"Poquonock Elementary School","=""1640511""",45,116,88,84,0,0,0,0,0,0,0,0,0,0,333
,,"Clover Street School","=""1640111""",0,0,0,0,94,98,88,0,0,0,0,0,0,0,280
,,"John F. Kennedy School","=""1640811""",0,0,0,0,109,127,129,0,0,0,0,0,0,0,365
,,"Sage Park Middle School","=""1645311""",0,0,0,0,0,0,0,239,224,255,0,0,0,0,718
,,"Spark","=""1640311""",0,0,0,0,0,0,0,0,0,0,6,"*",6,"*",17
,,"Windsor High School","=""1646111""",0,0,0,0,0,0,0,0,0,0,273,286,294,257,1110
,,"Community Based Transition Academy","=""1640211""",0,0,0,0,0,0,0,0,0,0,0,0,0,23,23
"Wolcott School District","=""1660011""","Alcott School","=""1660611""",48,37,39,41,36,32,38,0,0,0,0,0,0,0,271
,,"ABC Classroom","=""1660311""",0,"*","*","*",0,0,"*",0,0,0,0,0,0,0,"*"
,,"Frisbie School","=""1660211""",0,41,47,47,50,40,62,0,0,0,0,0,0,0,287
,,"Wakelee School","=""1660511""",0,58,63,63,64,66,56,0,0,0,0,0,0,0,370
,,"Tyrrell Middle School","=""1665111""",0,0,0,0,0,0,0,177,168,207,0,0,0,0,552
,,"Wolcott High School","=""1666111""",0,0,0,0,0,0,0,0,0,0,162,169,205,207,743
,,"Phoenix Program","=""1660411""",0,0,0,0,0,0,0,0,0,0,0,0,"*",0,"*"
"Woodbridge School District","=""1670011""","Beecher Road School","=""1670311""",20,108,114,114,121,124,133,109,0,0,0,0,0,0,843
"Woodstock School District","=""1690011""","Woodstock Elementary School","=""1690211""",32,72,87,73,76,88,0,0,0,0,0,0,0,0,428
,,"Woodstock Middle School","=""1695111""",0,0,0,0,0,0,99,102,84,121,0,0,0,0,406
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",0,91,93,89,85,95,102,115,110,116,96,45,40,35,1112
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",0,93,93,95,92,91,97,90,92,90,72,73,60,45,1083
"Booker T. Washington Academy District","=""2950013""","Booker T. Washington Academy","=""2950113""",0,75,70,80,68,41,26,0,0,0,0,0,0,0,360
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",0,96,95,95,92,90,99,97,97,89,79,68,48,48,1093
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""",0,10,"*",8,9,"*",8,6,"*",10,0,0,0,0,63
"Capital Preparatory Harbor School District","=""2970013""","Capital Preparatory Harbor School","=""2970113""",0,76,52,43,47,46,54,59,44,46,37,58,39,33,634
"Chester School District","=""0260011""","Chester Elementary School","=""0260111""",0,29,31,32,20,26,25,31,0,0,0,0,0,0,194
"Colebrook School District","=""0290011""","Colebrook Consolidated School","=""0290111""",0,8,12,11,12,11,11,19,0,0,0,0,0,0,84
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""",0,11,10,"*",11,"*",17,11,7,13,0,0,0,0,91
"Deep River School District","=""0360011""","Deep River Elementary School","=""0360111""",0,29,27,34,37,41,33,41,0,0,0,0,0,0,242
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""",0,62,63,67,66,68,65,68,64,61,47,49,52,24,756
"Odyssey Community School District","=""2630013""","Odyssey Community School","=""2635113""",0,36,36,36,38,36,38,36,37,36,0,0,0,0,329
"Sharon School District","=""1250011""","Sharon Center School","=""1250111""",0,18,9,9,9,15,14,17,11,13,0,0,0,0,115
"Park City Prep Charter School District","=""2830013""","Park City Prep Charter School","=""2835113""",0,0,0,0,0,0,100,95,88,77,0,0,0,0,360
"Great Oaks Charter School District","=""2940013""","Great Oaks Charter School","=""2940113""",0,0,0,0,0,0,0,116,123,97,68,61,0,0,465
"Interdistrict School for Arts and Comm District","=""2650013""","Interdistrict School For Arts And Communication","=""2655113""",0,0,0,0,0,0,0,97,90,91,0,0,0,0,278
"Trailblazers Academy District","=""2780013""","Trailblazers Academy","=""2785113""",0,0,0,0,0,0,0,43,44,40,0,0,0,0,127
"Regional School District 04","=""2040012""","John Winthrop Middle School","=""2045112""",0,0,0,0,0,0,0,0,143,140,0,0,0,0,283
,,"Valley Regional High School","=""2046112""",0,0,0,0,0,0,0,0,0,0,168,136,147,148,599
,,"Region 4 Transition Academy","=""2040112""",0,0,0,0,0,0,0,0,0,0,0,0,0,"*","*"
"Regional School District 05","=""2050012""","Amity Middle School: Bethany","=""2055112""",0,0,0,0,0,0,0,0,161,154,0,0,0,0,315
,,"Amity Middle School: Orange","=""2055212""",0,0,0,0,0,0,0,0,181,175,0,0,0,0,356
,,"Amity Regional High School","=""2056112""",0,0,0,0,0,0,0,0,0,0,379,369,382,361,1491
,,"Amity Transition Academy","=""2050112""",0,0,0,0,0,0,0,0,0,0,0,0,0,"*","*"
"Regional School District 07","=""2070012""","FLEX","=""2079012""",0,0,0,0,0,0,0,0,"*","*",0,0,0,0,9
,,"Links","=""2079212""",0,0,0,0,0,0,0,0,"*","*","*",11,"*","*",24
,,"Northwestern Regional Middle School","=""2075112""",0,0,0,0,0,0,0,0,145,138,0,0,0,0,283
,,"AIM","=""2079112""",0,0,0,0,0,0,0,0,0,0,9,7,"*","*",21
,,"Northwestern Regional High School","=""2076112""",0,0,0,0,0,0,0,0,0,0,173,189,151,181,694
,,"STEP","=""2079312""",0,0,0,0,0,0,0,0,0,0,0,"*","*",11,20
,,"Highlander Transition Academy","=""2070112""",0,0,0,0,0,0,0,0,0,0,0,0,0,12,12
"Regional School District 08","=""2080012""","RHAM Middle School","=""2085112""",0,0,0,0,0,0,0,0,245,238,0,0,0,0,483
,,"RHAM High School","=""2086112""",0,0,0,0,0,0,0,0,0,0,209,257,251,235,952
"Regional School District 11","=""2110012""","Parish Hill High School","=""2116112""",0,0,0,0,0,0,0,0,42,46,37,33,27,40,225
"The Bridge Academy District","=""2690013""","The Bridge Academy","=""2696113""",0,0,0,0,0,0,0,0,54,48,58,50,38,33,281
"The Gilbert School District","=""9020022""","The Gilbert School","=""9026122""",0,0,0,0,0,0,0,0,67,87,62,91,89,115,511
"Unified School District #2","=""3470015""","Children's Place School","=""3470115""",0,0,0,0,0,0,0,0,"*","*",6,10,"*","*",24
,,"Riverview School","=""3470315""",0,0,0,0,0,0,0,0,"*",11,10,11,10,"*",49
,,"Virtual Academy","=""3470215""",0,0,0,0,0,0,0,0,0,0,0,0,0,"*","*"
"Unified School District #1","=""3360015""","Manson Youth Institution","=""3361115""",0,0,0,0,0,0,0,0,0,10,54,31,22,13,130
,,"York Correctional Institution","=""3362515""",0,0,0,0,0,0,0,0,0,"*","*","*","*","*",12
,,"Cheshire Correctional Institution","=""3360315""",0,0,0,0,0,0,0,0,0,0,0,"*",0,"*","*"
,,"Corrigan/Radgowski Correctional Institution","=""3362415""",0,0,0,0,0,0,0,0,0,0,0,"*","*","*","*"
,,"Northern Correctional Institution","=""3362615""",0,0,0,0,0,0,0,0,0,0,0,"*",0,"*","*"
,,"Hartford Correctional Center","=""3360615""",0,0,0,0,0,0,0,0,0,0,0,0,0,"*","*"
,,"MacDougall/Walker Correctional Institution","=""3362215""",0,0,0,0,0,0,0,0,0,0,0,0,0,"*","*"
,,"Willard/Cybulski Correctional Institution","=""3361515""",0,0,0,0,0,0,0,0,0,0,0,0,0,"*","*"
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""",0,0,0,0,0,0,0,0,0,0,70,61,47,38,216
"Connecticut Technical Education and Career System","=""9000016""","A. I. Prince Technical High School","=""9001516""",0,0,0,0,0,0,0,0,0,0,183,195,150,149,677
,,"Bullard-Havens Technical High School","=""9001116""",0,0,0,0,0,0,0,0,0,0,205,204,175,176,760
,,"E. C. Goodwin Technical High School","=""9001916""",0,0,0,0,0,0,0,0,0,0,198,169,150,130,647
,,"Eli Whitney Technical High School","=""9001416""",0,0,0,0,0,0,0,0,0,0,192,155,136,110,593
,,"Ella T. Grasso Technical High School","=""9002716""",0,0,0,0,0,0,0,0,0,0,144,131,122,94,491
,,"Emmett O'Brien Technical High School","=""9002516""",0,0,0,0,0,0,0,0,0,0,180,158,145,124,607
,,"H. C. Wilcox Technical High School","=""9001716""",0,0,0,0,0,0,0,0,0,0,211,194,187,171,763
,,"H. H. Ellis Technical High School","=""9001316""",0,0,0,0,0,0,0,0,0,0,167,191,150,149,657
,,"Henry Abbott Technical High School","=""9001216""",0,0,0,0,0,0,0,0,0,0,181,179,165,147,672
,,"Howell Cheney Technical High School","=""9001616""",0,0,0,0,0,0,0,0,0,0,180,177,136,138,631
,,"J. M. Wright Technical High School","=""9002116""",0,0,0,0,0,0,0,0,0,0,118,121,88,94,421
,,"Norwich Technical High School","=""9002016""",0,0,0,0,0,0,0,0,0,0,169,179,146,147,641
,,"Oliver Wolcott Technical High School","=""9002216""",0,0,0,0,0,0,0,0,0,0,168,149,159,161,637
,,"Platt Technical High School","=""9002616""",0,0,0,0,0,0,0,0,0,0,236,216,178,178,808
,,"Vinal Technical High School","=""9001816""",0,0,0,0,0,0,0,0,0,0,94,102,105,106,407
,,"W. F. Kaynor Technical High School","=""9002316""",0,0,0,0,0,0,0,0,0,0,216,209,186,176,787
,,"Windham Technical High School","=""9002416""",0,0,0,0,0,0,0,0,0,0,139,110,110,89,448
"Explorations District","=""2720013""","Explorations","=""2726113""",0,0,0,0,0,0,0,0,0,0,16,17,25,30,88
"Norwich Free Academy District","=""9010022""","Norwich Free Academy","=""9016122""",0,0,0,0,0,0,0,0,0,0,521,568,601,544,2234
,,"Alternative Pathways to Success","=""9010322""",0,0,0,0,0,0,0,0,0,0,0,0,"*","*",15
,,"Night School","=""9010222""",0,0,0,0,0,0,0,0,0,0,0,0,"*","*",7
"Regional School District 09","=""2090012""","Joel Barlow High School","=""2096112""",0,0,0,0,0,0,0,0,0,0,220,213,211,231,875
"Regional School District 19","=""2190012""","E. O. Smith High School","=""2196112""",0,0,0,0,0,0,0,0,0,0,246,276,292,277,1091
,,"E.O. Smith High School at the Depot Campus","=""2190112""",0,0,0,0,0,0,0,0,0,0,"*",8,"*",8,20
,,"PM Panthers","=""2190212""",0,0,0,0,0,0,0,0,0,0,0,0,"*","*",17
,,"STAAR Program","=""2190312""",0,0,0,0,0,0,0,0,0,0,0,0,0,18,18
"Stamford Academy District","=""2820013""","Stamford Academy","=""2826013""",0,0,0,0,0,0,0,0,0,0,38,31,52,31,152
"The Woodstock Academy District","=""9030022""","The Woodstock Academy","=""9036122""",0,0,0,0,0,0,0,0,0,0,238,260,292,308,1098
"Department of Mental Health and Addiction Services","=""3370015""","Connecticut Valley Hospital","=""3370215""",0,0,0,0,0,0,0,0,0,0,0,0,0,"*","*"

